,링크,공고명,기관명,마감일,채용직급,장애인 채용 / 우대,본문,근무지역
0,https://www.gojobs.go.kr/apmView.do?empmnsn=241111&selMenuNo=400&menuNo=401&upperMenuNo=,영동일고등학교 사무직원 병가 대체 채용 공고,서울특별시교육청 영동일고등학교,2024-12-18,교육공무직원 1명,해당없음,"첨부파일 사무직원 병가 대체 채용공고문(2024.12.12).hwp O 모집분야: 일반행정(인사,복무,계약, 급식, 민원, 전출입 등) O 선발직급: 교육공무직 O 고용형태: 병가대체 O 접수기간: 2024년 12월 12일~2024년 12월 18일 O 서류제출: 이메일(ydihs@sen.go.kr), 방문접수 O 문의처: 02-430-6822(내선703)",
1,https://www.gojobs.go.kr/apmView.do?empmnsn=241112&selMenuNo=400&menuNo=401&upperMenuNo=,2024년 제2회 화순우체국 농어촌소포배달원(공무직) 채용 공고,과학기술정보통신부 우정사업본부 전남지방우정청 화순우체국,2024-12-19,농어촌소포배달원 1명,해당없음,"첨부파일 2024년 제2회 화순우체국 농어촌소포배달원(공무직) 채용 공고문.pdf 응시원서 등 제출서류 양식.hwpx <화순우체국 공고 제 2024-2호> 2024년 제2회 화순우체국 농어촌소포배달원(공무직) 채용 공고 화순우체국에서 소포배달 관련 업무를 담당할 농어촌소포배달원(공무직) 채용 계획을 다음과 같이 공고합니다. 1. 채용직종 : 농어촌소포배달원(상시계약집배원) 2. 채용인원 : 1명 3. 시험방법 : 1차 서류전형, 2차 실기시험, 3차 면접시험 4. 서류접수 : 2024.12.16.(월) ~ 12.19.(목) 18:00까지 5. 접수방법 : 방문(직접) 접수, 등기우편, 전자우편 접수 ㅇ 접수처 : 화순우체국 2층 우편물류과(전라남도 화순군 화순읍 중앙로 85) ※ 접수 마감일(12.19.) 18:00까지 도착분에 한함 6. 서류전형 합격자 발표 : 2024.12.20.(금) 7. 실기 및 면접시험 : 2024.12.24.(화) 8. 최종 합격자 발표 : 2024.12.26.(목) 자세한 사항은 반드시 공고문을 확인하시기 바랍니다. ※ 담당자 : 화순우체국 인사담당 : 061-370-2551",
2,https://www.gojobs.go.kr/apmView.do?empmnsn=241113&selMenuNo=400&menuNo=401&upperMenuNo=,2024년 제3회 서대문우체국 주관 한시적 기간제 우정실무원 채용 공고,과학기술정보통신부 우정사업본부 서울지방우정청 서대문우체국,2024-12-19,기간제 우정실무원 1명,해당없음,"첨부파일 2024년 제3회 서대문우체국 한시적 기간제 우정실무원 선발 공고문.pdf 2024년 제3회 서대문우체국 한시적 기간제 우정실무원 응시서류 양식.hwpx (서대문우체국 채용공고 제2024-22호) 2024년 제3회 서대문우체국 주관 한시적 기간제근로자(우정실무원) 채용계획을 아래와 같이 공고합니다. 1. 채용직종: 기간제 우정실무원 2. 채용인원: 1명 3. 근무형태: 시간제 4시간 근무(10:30~14:30, 월~금요일) 4. 근무부서: 서대문우체국 우편물류과 5. 담당업무: 우편물 구분 및 소통업무 보조 6. 제출 서류 등 기타 자세한 사항은 붙임 공고문을 참조하여 주시기 바랍니다.",
3,https://www.gojobs.go.kr/apmView.do?empmnsn=241114&selMenuNo=400&menuNo=401&upperMenuNo=,"(재)인제군문화재단 신규직원 채용(정규직원, 기간제근로자) 공고",재단법인인제군문화재단,2024-12-27,4급(공무원8급 상당) 0명,해당없음,"첨부파일 신규직원 채용 재공고문(정규직,기간제근로자).hwp (재)인제군문화재단 공고 제2024-58호 (재)인제군문화재단에서는 붙임과 같이 신규직원을 채용하고자 하오니, 전문성과 열정을 지니신 분들의 많은 지원 바랍니다. * 채용분야 - 정규직: 학예연구사(4급, 5급), 시설관리(5급) - 기간제근로자: 영화관 운영, 박물관 운영, 환경미화, 시설관리 자세한 사항은 붙임문서(공고문)를 참고하여 주시기 바랍니다.",
4,https://www.gojobs.go.kr/apmView.do?empmnsn=241115&selMenuNo=400&menuNo=401&upperMenuNo=,한국법령정보원 직원(법제정보실 외국어(영어) 연구직) 신규인력 인재 채용 공고,한국법령정보원,2024-12-23,연구직 1명,해당없음,"첨부파일 제출서류(법제정보(영어)).zip 한국법령정보원 공고 제2024-77호 직원(법제정보실 외국어(영어) 연구직) 신규인력 인재 채용 공고 재단법인 한국법령정보원(이하‘정보원’)은 국내외 법령정보 및 법제정보 제공을 위한 정보화사업 등을 수행하고 있는 법제처 소관 비영리법인입니다. 정보원과 함께 할 우수한 인재를 아래와 같이 채용하고자 하오니, 능력 있는 분들의 많은 지원을 바랍니다. 2024년 12월 12일 한국법령정보원장 한국법령정보원 직원(법제정보실 외국어(영어) 연구직) 신규인력 인재 채용을 다음과 같이 공고합니다. ㅇ채용예정분야 - 외국어 생활법령 콘텐츠 신규개발 및 업데이트 - 외국어 생활법령 콘텐츠 오류 검토 - 외국어 생활법령 사업 운영.관리 - 외국어 맞춤형 생활법령서비스 수행 - 그 밖에 원장이 필요하다고 인정하는 경우 근무부서 및 담당업무 변경 ㅇ채용구분 및 인원: 연구직(계약직) / 1명 ㅇ채용기간: 채용(예정)일부터 1년(수습기간 3개월 포함) ※ \25년 업무평가에 따라 계약 연장 가능(\26년 업무평가에 따라 무기계약직 전환 가능) ㅇ채용자격 - 기본사항: 석사 학위 이상 취득한 사람(‘25년 상반기 석사 학위 이상 취득 예정자 포함) 또는 학사 학위 취득 후 관련 분야 경력 2년 이상인 사람 / 아랍어로 법령정보 검색 및 번역이 능숙한 사람 - 우대사항: 영어학, 영어교육학, 영문학, 통번역학 등 영어 관련 전공자 / 법학 전공자 - 공통사항: 해외여행에 결격사유가 없는 자, 남자는 병역필 또는 면제자 / 한글,엑셀 등 컴퓨터를 이용한 문서작업이 능숙한 사람 ㅇ근무여건 등: 주 20시간(격일제 또는 반일제 근무 등 추후 협의) ※유연근무제 운영에 따라 출근ㆍ퇴근시간, 근무시간 또는 근무장소를 변경하여 근무 가능(*수습기간 중에는 업무교육 등 필요에 따라 적용 제외할 수도 있음) -시차출퇴근형,근무시간선택형,재택근무형 ㅇ원서접수 기간: \24.12.12.(목) ~ 12.23.(월) ㅇ서류전형 합격자 발표: \24.12.26.(목) ㅇ필기시험일: \24.12.30.(월) 오전 예정 ㅇ필기시험 합격자 발표: \25.1.2.(목) 예정 ㅇ면접전형일: \25.1.7.(화) 오전 예정 ㅇ최종합격자 발표: \25.1.9.(목) 예정 ㅇ채용예정일: \25.1.13.(월) 예정 기타 자세한 내용은 첨부파일을 참고하시기 바랍니다.",
5,https://www.gojobs.go.kr/apmView.do?empmnsn=241116&selMenuNo=400&menuNo=401&upperMenuNo=,[대구우편집중국] 제2024-15회 기간제 우정실무원 채용 공고,과학기술정보통신부 우정사업본부 경북지방우정청 대구우편집중국,2024-12-23,우정실무원 23명,해당없음,"첨부파일 기간제근로자 채용공고(제2024-15회).pdf 지원서양식(다운로드용).hwp [제2024-15회] 대구우편집중국 기간제우정실무원 채용 계획을 붙임과 같이 공고합니다. 1. 모집시간 및 인원 1) 통상팀 : 03~07시 3명, 08~12시 2명, 18~22시 4명 2) 소포팀 : 01~06시 3명, 석근(주20시간) 11명 2. 업무 1) 통상업무: 편지,달력,책자 등 우편물을 구분하여 용기에 적재하는 작업 2) 소포업무 : 슈트에 구역별로 구분되어 내려오는 소포우편물을 롤파렛 또는 평파렛에 적재하여 랩핑하는 작업 3. 채용기간 채용시점~ 3개월 까지 (근무기간동안 근무성적평정을 통해 재계약여부 결정) 4. 원서접수기간 : 2024.12.12.(목)~2024.12.23.(월) 09:00~18:00 5. 접수방법 : 자사 양식 지원서 작성(붙임2), 방문접수/등기우편접수/이메일접수(dmc7115@korea.kr) * 기타 세부사항은 붙임 공고문을 참조하여 주시기 바라며, 반드시 공고문을 자세히 읽은 후 문의 전화하시기 바랍니다. * 문의전화 : 053.380.7115.~7116.",
6,https://www.gojobs.go.kr/apmView.do?empmnsn=241117&selMenuNo=400&menuNo=401&upperMenuNo=,서울마포경찰서 시설관리 주무관[무기계약직] 채용 공고,경찰청 서울특별시경찰청 서울마포경찰서,2024-12-21,시설관리원 1명,해당없음,첨부파일 241212 (마포수정)수정양식(시설관리).hwp ○ 모집분야 : 시설관리 공무직 ○ 고용형태 : 무기계약직 ○ 자격요건 : 시설관리 관련 자격증 우대 ○ 접수기간 : 2024년12월12일 ~ 2024년12월21일 ○ 문의처 : 02-3149-6106,
7,https://www.gojobs.go.kr/apmView.do?empmnsn=241118&selMenuNo=400&menuNo=401&upperMenuNo=,[긴급] 신도림중학교 2학년 도덕 시간강사(2명) 모집,서울특별시교육청 서울특별시남부교육지원청 신도림중학교,2024-12-27,시간강사 2명,해당없음,,
8,https://www.gojobs.go.kr/apmView.do?empmnsn=241119&selMenuNo=400&menuNo=401&upperMenuNo=,[서울지방교정청] 제5회 일반직공무원(약무주사) 경력경쟁채용시험 재공고,법무부 서울지방교정청,2024-12-23,"약무주사, 6급 1명",해당없음,첨부파일 법무부 서울지방교정청 일반직공무원(약무주사) 경력경쟁채용시험 재공고문.hwp ○ 채용분야 : 약무주사 1명 ○ 원서접수기간 : 12. 19.(목) ~ 12. 23.(월) ○ 선발방법 : 경력경쟁채용 ○ 담당부서(연락처) 및 채용일정 등 기타 자세한 사항은 붙임의 공고문 참조,
9,https://www.gojobs.go.kr/apmView.do?empmnsn=241120&selMenuNo=400&menuNo=401&upperMenuNo=,24-18차 공군 작사근무지원단 공무직근로자 등 채용 공고,국방부 국군조직 공군 작사근무지원단,2024-12-23,택배관리원 1명,우대,첨부파일 [작근단]24-18차 공무직근로자 등 채용 공고문.hwp 많은 지원 부탁드립니다.,
